7, 2
1,1,1,1,1,1,1,1
1,0.2,1,1,0,0,0,0
1,1,1,1,1,1,1,1
1,0.0909090909090909,1,0,1,0,0,0
1,1,1,1,1,1,1,1
0.333333333333333,1,1,0,1,0,0,0
1,1,1,1,1,1,1,1
1,0.333333333333333,1,0,1,0,0,0
1,1,1,1,1,1,0,1
0.333333333333333,0.857142857142857,1,0,0,0,0,0
1,1,1,1,1,1,1,1
1,0.333333333333333,1,0,0,1,0,0
1,1,1,1,1,1,1,1
0,0.5,1,0,0,0,0,0
1,1,1,1,1,1,1,1
1,0.1,1,1,0,0,0,0
1,1,1,1,1,1,1,1
1,0.25,1,0,0,1,0,0
1,1,1,0,1,1,1,1
0,1,1,0,1,0,0,0
1,1,1,1,1,1,1,1
1,0.142857142857143,1,0,1,0,0,0
1,1,1,1,1,1,1,1
1,0.125,1,0,1,0,0,0
1,1,1,1,1,1,1,1
0.142857142857143,0,0,1,1,1,0,0
1,1,1,1,1,1,1,1
1,0.428571428571429,1,1,0,0,0,0
1,1,1,1,1,1,1,1
0.142857142857143,0.857142857142857,1,0,0,0,0,0
1,1,1,1,1,1,1,1
1,0.142857142857143,1,0,1,0,0,0
1,1,1,1,1,1,1,1
1,0,1,0,1,0,0,0
1,1,1,1,1,1,1,1
1,0,1,1,0,0,0,0
1,1,1,1,1,1,1,1
1,0,1,0,0,1,0,0
1,1,1,1,1,1,1,1
1,0.111111111111111,1,0,1,0,0,0
1,1,1,1,1,1,1,1
1,0.166666666666667,1,0,1,0,0,0
1,1,1,1,1,1,1,1
1,0,1,0,0,1,0,0
1,1,1,1,1,1,1,1
0.25,0.8,1,0,1,0,0,0
1,1,1,1,1,1,1,1
1,0,1,1,0,0,0,0
1,1,1,1,1,1,1,1
0.4,0.111111111111111,1,1,0,0,0,0
1,1,1,1,1,1,1,1
1,0.25,1,1,0,0,0,0
1,1,1,1,1,1,1,1
0.25,0.125,1,0,1,0,0,0
1,1,1,1,1,1,0,1
1,0.375,1,1,0,0,0,0
1,1,1,1,1,1,1,1
1,0.25,1,0,1,0,0,0
1,1,1,1,1,1,1,1
